Byte pair, Frequency
(276, 298), -> [1]
(298, 117), -> [2]
(32, 309), -> [17]
(340, 280), -> [6]
(46, 34), -> [13]
(34, 91), -> [8]
(50, 54), -> [73]
(354, 265), -> [20]
(265, 98), -> [8]
(324, 256), -> [3]
(101, 121), -> [53]
(316, 108), -> [6]
(50, 55), -> [72]
(50, 56), -> [58]
(87, 263), -> [2]
(263, 110), -> [14]
(274, 262), -> [1]
(262, 110), -> [11]
(320, 114), -> [11]
(114, 291), -> [23]
(291, 256), -> [2]
(97, 117), -> [70]
(117, 103), -> [185]
(103, 104), -> [34]
(337, 108), -> [22]
(32, 263), -> [30]
(263, 108), -> [24]
(340, 270), -> [18]
(76, 117), -> [11]
(107, 121), -> [10]
(50, 57), -> [73]
(337, 265), -> [14]
(265, 290), -> [8]
(147, 98), -> [1]
(98, 336), -> [9]
(261, 269), -> [5]
(269, 290), -> [7]
(344, 266), -> [11]
(339, 266), -> [11]
(339, 121), -> [5]
(121, 109), -> [10]
(109, 116), -> [3]
(346, 335), -> [47]
(267, 286), -> [1]
(286, 99), -> [1]
(99, 313), -> [1]
(313, 98), -> [1]
(32, 38), -> [28]
(345, 335), -> [2]
(335, 285), -> [12]
(268, 105), -> [11]
(82, 105), -> [1]
(349, 97), -> [13]
(97, 298), -> [6]
(297, 280), -> [96]
(280, 98), -> [1]
(301, 259), -> [5]
(320, 68), -> [4]
(344, 283), -> [3]
(97, 106), -> [4]
(51, 48), -> [71]
(274, 67), -> [2]
(119, 99), -> [2]
(99, 336), -> [3]
(336, 101), -> [20]
(268, 110), -> [5]
(103, 105), -> [33]
(112, 109), -> [4]
(333, 113), -> [4]
(113, 117), -> [41]
(261, 270), -> [4]
(270, 112), -> [4]
(112, 115), -> [37]
(51, 49), -> [55]
(51, 50), -> [17]
(51, 51), -> [22]
(98, 333), -> [9]
(330, 102), -> [7]
(102, 307), -> [16]
(307, 101), -> [28]
(340, 263), -> [7]
(333, 108), -> [18]
(99, 287), -> [9]
(287, 260), -> [66]
(354, 290), -> [4]
(262, 118), -> [10]
(51, 53), -> [20]
(267, 265), -> [2]
(265, 262), -> [4]
(261, 119), -> [21]
(119, 111), -> [30]
(98, 283), -> [11]
(306, 285), -> [8]
(285, 260), -> [8]
(260, 117), -> [4]
(104, 114), -> [22]
(114, 309), -> [20]
(309, 103), -> [18]
(288, 289), -> [11]
(108, 295), -> [17]
(117, 287), -> [4]
(51, 55), -> [21]
(259, 110), -> [36]
(278, 114), -> [31]
(111, 121), -> [24]
(314, 114), -> [31]
(114, 283), -> [13]
(297, 99), -> [35]
(99, 65), -> [1]
(269, 352), -> [20]
(346, 265), -> [2]
(265, 114), -> [10]
(51, 56), -> [17]
(51, 57), -> [18]
(272, 295), -> [6]
(105, 122), -> [41]
(263, 121), -> [5]
(344, 101), -> [12]
(101, 283), -> [11]
