754. (34, 89 has count: 10)
755. (89, 321 has count: 45)
756. (321, 32 has count: 37)
757. (66, 101 has count: 40)
758. (108, 264 has count: 13)
759. (32, 277 has count: 43)
760. (77, 101 has count: 43)
761. (101, 34 has count: 43)
762. (99, 347 has count: 14)
763. (116, 268 has count: 76)
764. (268, 104 has count: 44)
765. (272, 352 has count: 11)
766. (352, 109 has count: 5)
767. (109, 97 has count: 93)
768. (263, 339 has count: 12)
769. (339, 320 has count: 23)
770. (97, 109 has count: 257)
771. (109, 32 has count: 87)
772. (32, 102 has count: 69)
773. (102, 97 has count: 28)
774. (101, 259 has count: 29)
775. (83, 112 has count: 77)
776. (97, 107 has count: 116)
777. (32, 78 has count: 100)
778. (78, 111 has count: 79)
779. (111, 119 has count: 196)
780. (261, 49 has count: 170)
781. (49, 48 has count: 204)
782. (48, 41 has count: 8)
783. (102, 312 has count: 3)
784. (312, 268 has count: 6)
785. (268, 114 has count: 1)
786. (310, 257 has count: 38)
787. (257, 119 has count: 41)
788. (119, 104 has count: 82)
789. (256, 82 has count: 5)
790. (82, 268 has count: 17)
791. (268, 40 has count: 8)
792. (49, 50 has count: 108)
793. (50, 41 has count: 17)
794. (32, 101 has count: 24)
795. (265, 109 has count: 11)
796. (108, 342 has count: 17)
797. (114, 264 has count: 8)
798. (264, 340 has count: 13)
799. (108, 293 has count: 7)
800. (262, 319 has count: 39)
801. (319, 102 has count: 15)
802. (102, 101 has count: 40)
803. (268, 282 has count: 24)
804. (116, 344 has count: 175)
805. (344, 102 has count: 13)
806. (102, 105 has count: 145)
807. (105, 114 has count: 137)
808. (115, 266 has count: 231)
809. (266, 66 has count: 17)
810. (66, 343 has count: 205)
811. (343, 98 has count: 192)
812. (98, 111 has count: 210)
813. (111, 271 has count: 193)
814. (271, 258 has count: 97)
815. (258, 72 has count: 20)
816. (72, 111 has count: 88)
817. (111, 266 has count: 53)
818. (48, 48 has count: 132)
819. (48, 32 has count: 127)
820. (32, 110 has count: 19)
821. (110, 353 has count: 38)
822. (353, 98 has count: 18)
823. (98, 278 has count: 45)
824. (45, 264 has count: 15)
825. (264, 256 has count: 68)
826. (103, 257 has count: 22)
827. (257, 34 has count: 31)
828. (34, 87 has count: 12)
829. (87, 256 has count: 7)
830. (316, 256 has count: 8)
831. (256, 78 has count: 7)
832. (78, 101 has count: 149)
833. (118, 272 has count: 24)
834. (272, 69 has count: 8)
835. (69, 118 has count: 34)
836. (272, 71 has count: 8)
837. (71, 101 has count: 18)
838. (101, 116 has count: 119)
839. (116, 116 has count: 70)
840. (325, 66 has count: 7)
841. (66, 97 has count: 24)
842. (32, 84 has count: 141)
843. (101, 267 has count: 20)
844. (278, 300 has count: 18)
845. (300, 83 has count: 13)
846. (331, 100 has count: 9)
847. (101, 112 has count: 156)
848. (112, 271 has count: 32)
849. (268, 317 has count: 3)
850. (317, 32 has count: 56)
851. (272, 99 has count: 22)
852. (273, 105 has count: 3)
853. (105, 109 has count: 157)
854. (256, 277 has count: 15)
855. (257, 338 has count: 17)
856. (121, 110 has count: 34)
857. (110, 267 has count: 6)
858. (267, 45 has count: 7)
859. (353, 32 has count: 101)
860. (112, 112 has count: 71)
861. (112, 291 has count: 43)
862. (268, 98 has count: 43)
863. (98, 273 has count: 79)
864. (273, 275 has count: 18)
865. (275, 284 has count: 4)
866. (284, 271 has count: 28)
867. (116, 45 has count: 40)
868. (45, 305 has count: 2)
869. (305, 112 has count: 49)
870. (112, 325 has count: 8)
871. (325, 115 has count: 18)
872. (103, 262 has count: 34)
873. (262, 34 has count: 15)
874. (34, 83 has count: 19)
875. (83, 104 has count: 62)
876. (107, 256 has count: 48)
877. (256, 73 has count: 18)
878. (73, 266 has count: 15)
879. (266, 79 has count: 13)
880. (79, 102 has count: 25)
881. (102, 102 has count: 51)
882. (102, 34 has count: 3)
883. (34, 257 has count: 63)
884. (34, 66 has count: 21)
885. (66, 108 has count: 47)
886. (270, 107 has count: 29)
887. (32, 83 has count: 134)
888. (258, 66 has count: 13)
889. (100, 300 has count: 29)
890. (300, 77 has count: 18)
891. (99, 114 has count: 11)
892. (114, 117 has count: 150)
893. (117, 116 has count: 102)
894. (263, 273 has count: 3)
895. (273, 263 has count: 15)
896. (263, 115 has count: 23)
897. (275, 104 has count: 15)
898. (112, 45 has count: 16)
899. (45, 104 has count: 6)
900. (104, 111 has count: 80)
901. (45, 263 has count: 4)
902. (268, 281 has count: 1)
903. (298, 279 has count: 84)
904. (279, 40 has count: 28)
905. (49, 55 has count: 101)
906. (55, 41 has count: 3)
907. (262, 110 has count: 8)
908. (256, 34 has count: 21)
909. (111, 107 has count: 37)
910. (87, 104 has count: 55)
911. (266, 89 has count: 7)
912. (100, 256 has count: 47)
913. (256, 77 has count: 29)
914. (77, 256 has count: 4)
915. (256, 68 has count: 18)
916. (68, 111 has count: 34)
917. (111, 34 has count: 6)
918. (34, 294 has count: 1)
919. (294, 65 has count: 3)
920. (65, 102 has count: 14)
921. (102, 116 has count: 35)
922. (110, 325 has count: 20)
923. (49, 56 has count: 111)
924. (56, 257 has count: 9)
925. (257, 282 has count: 59)
926. (266, 320 has count: 16)
927. (275, 342 has count: 2)
928. (342, 108 has count: 2)
929. (99, 32 has count: 31)
930. (32, 76 has count: 54)
931. (346, 272 has count: 43)
932. (272, 40 has count: 15)
